cycle,last_reward,avg_reward_last_10,cases_resolved_last_cycle,critical_failures_last_cycle
10,-1665.0,-1823.0,0,1
20,-1413.0,-1624.3,0,1
30,-1311.0,-1323.1,0,1
40,-1614.0,-1535.5,0,1
50,-1616.0,-1365.3,0,1
60,-1632.0,-1553.4,0,1
70,-1542.0,-1476.0,0,1
80,-1491.0,-1489.8,0,1
90,-1576.0,-1518.2,0,1
100,-1724.0,-1657.4,0,1
110,-1485.0,-1707.6,0,1
120,-1218.0,-1681.0,0,1
130,-1895.0,-1518.4,0,1
140,-1782.0,-1611.3,0,1
150,-1823.0,-1547.3,0,1
160,-1517.0,-1819.4,0,1
170,-1465.0,-1452.7,0,1
180,-1455.0,-1400.4,0,1
190,-1314.0,-1572.5,0,1
200,-1227.0,-1519.6,0,1
210,-1215.0,-1674.2,0,1
220,-1326.0,-1628.2,0,1
230,-1018.0,-1432.2,0,1
240,-1658.0,-1693.4,0,1
250,-1913.0,-1809.0,0,1
260,-1589.0,-1653.9,0,1
270,-1471.0,-1416.1,0,1
280,-1439.0,-1520.5,0,1
290,-1154.0,-1443.8,0,1
300,-1838.0,-1522.6,0,1
310,-1908.0,-1547.8,0,1
320,-1115.0,-1605.7,0,1
330,-1279.0,-1706.1,0,1
340,-2037.0,-1721.9,0,1
350,-1360.0,-1528.5,0,1
360,-1717.0,-1492.3,0,1
370,-1857.0,-1680.0,0,1
380,-1378.0,-1533.2,0,1
390,-1525.0,-1484.5,0,1
400,-1497.0,-1506.3,0,1
410,-1159.0,-1521.3,0,1
420,-1626.0,-1435.7,0,1
430,-1396.0,-1536.9,0,1
440,-1754.0,-1539.5,0,1
450,-1393.0,-1554.3,0,1
460,-1303.0,-1540.5,0,1
470,-1315.0,-1329.9,0,1
480,-1746.0,-1584.4,0,1
490,-1456.0,-1470.9,0,1
500,-1630.0,-1584.4,0,1
