cycle,last_reward,avg_reward_last_window,cases_resolved_last_cycle,critical_failures_last_cycle
10,-12.0,-161.2,10,0
20,-320.0,-141.0,10,0
30,-216.0,-156.7,10,0
40,-276.0,-212.9,10,0
50,150.0,-167.6,10,0
60,-284.0,-190.2,10,0
70,-248.0,-223.4,9,0
80,-448.0,-209.3,10,0
90,-13.0,-175.1,10,0
100,-125.0,-241.8,10,0
110,-330.0,-245.2,9,0
120,-221.0,-196.2,10,0
130,15.0,-204.0,10,0
140,-160.0,-169.1,10,0
150,-268.0,-217.8,9,0
160,-121.0,-183.9,9,0
170,-207.0,-183.6,9,0
180,-41.0,-148.9,10,0
190,18.0,-169.0,10,0
200,-24.0,-130.4,10,0
210,-226.0,-178.5,10,0
220,-300.0,-232.7,9,0
230,-430.0,-161.2,9,0
240,-213.0,-211.4,10,0
250,-92.0,-194.6,10,0
260,-216.0,-188.7,10,0
270,-88.0,-166.8,10,0
280,-382.0,-219.0,10,0
290,-284.0,-136.9,8,0
300,-218.0,-267.2,10,0
310,-141.0,-258.3,10,0
320,-160.0,-210.8,8,0
330,-165.0,-222.9,9,0
340,-292.0,-259.2,10,0
350,-174.0,-209.1,10,0
360,-54.0,-184.7,9,0
370,-148.0,-139.6,9,0
380,-238.0,-171.0,9,0
390,-312.0,-213.1,10,0
400,-16.0,-175.3,9,0
410,-183.0,-202.5,10,0
420,-109.0,-206.9,10,0
430,-213.0,-161.0,10,0
440,-92.0,-148.3,9,0
450,-426.0,-255.0,9,0
460,-117.0,-281.0,10,0
470,-187.0,-273.2,9,0
480,-165.0,-153.5,8,0
490,-62.0,-188.2,10,0
500,-216.0,-215.0,10,0
