cycle,last_reward,avg_reward_last_window,cases_resolved_last_cycle,critical_failures_last_cycle
10,99.0,64.4,10,0
20,275.0,163.6,10,0
30,-69.0,44.7,10,0
40,-33.0,57.6,10,0
50,230.0,74.9,10,0
60,-3.0,91.2,10,0
70,-44.0,84.4,9,0
80,-84.0,-8.9,10,0
90,139.0,46.8,10,0
100,128.0,7.3,10,0
110,132.0,81.6,9,0
120,-174.0,46.7,10,0
130,302.0,75.2,10,0
140,-5.0,68.7,10,0
150,-187.0,19.9,9,0
160,187.0,67.8,9,0
170,-149.0,22.2,9,0
180,168.0,57.0,10,0
190,122.0,42.6,10,0
200,3.0,-3.5,10,0
210,140.0,61.1,10,0
220,-294.0,10.1,9,0
230,-206.0,31.2,9,0
240,315.0,86.9,10,0
250,125.0,35.4,10,0
260,115.0,94.8,10,0
270,112.0,51.2,10,0
280,-117.0,51.7,10,0
290,-16.0,97.1,8,0
300,-66.0,5.2,10,0
310,0.0,23.8,10,0
320,9.0,48.2,8,0
330,29.0,96.0,9,0
340,56.0,-7.0,10,0
350,15.0,-28.1,10,0
360,211.0,70.0,9,0
370,-2.0,14.3,9,0
380,-74.0,87.9,9,0
390,-109.0,45.7,10,0
400,198.0,30.6,9,0
410,173.0,96.8,10,0
420,52.0,-39.5,10,0
430,159.0,26.3,10,0
440,32.0,56.8,9,0
450,-51.0,61.8,9,0
460,-23.0,-19.2,10,0
470,-86.0,-14.8,9,0
480,85.0,56.6,8,0
490,347.0,110.6,10,0
500,43.0,13.0,10,0
